Date;Open;High;Low;Close;Volume
03/06/2013 16:00:00;1,5196;1,5376;1,5191;1,532;138638
04/06/2013 16:00:00;1,5317;1,5342;1,5272;1,5311;102271
05/06/2013 16:00:00;1,5312;1,5409;1,529;1,5406;141622
06/06/2013 16:00:00;1,5406;1,5684;1,5381;1,5598;222912
07/06/2013 16:00:00;1,5587;1,5617;1,5487;1,5557;173322
10/06/2013 16:00:00;1,5538;1,5586;1,5495;1,5569;117831
11/06/2013 16:00:00;1,557;1,5652;1,552;1,5649;143557
12/06/2013 16:00:00;1,5644;1,57;1,5633;1,5678;109120
13/06/2013 16:00:00;1,5671;1,5728;1,5637;1,5707;38002
14/06/2013 16:00:00;1,5706;1,5709;1,5608;1,5695;93856
17/06/2013 16:00:00;1,5703;1,5743;1,5672;1,5715;77352
18/06/2013 16:00:00;1,5711;1,5714;1,5556;1,5632;103624
19/06/2013 16:00:00;1,5632;1,5669;1,5441;1,5478;117816
20/06/2013 16:00:00;1,5483;1,5509;1,5406;1,55;175108
21/06/2013 16:00:00;1,5496;1,5523;1,536;1,5411;130653
24/06/2013 16:00:00;1,5389;1,5457;1,5335;1,5429;138228
25/06/2013 16:00:00;1,5428;1,547;1,5389;1,541;111817
26/06/2013 16:00:00;1,5416;1,5433;1,5289;1,5308;122751
27/06/2013 16:00:00;1,5307;1,5339;1,5193;1,5249;117482
28/06/2013 16:00:00;1,5253;1,5271;1,5157;1,5197;110907
01/07/2013 16:00:00;1,5204;1,5242;1,5175;1,521;78748
02/07/2013 16:00:00;1,5207;1,523;1,5128;1,5148;88184
03/07/2013 16:00:00;1,5146;1,5298;1,5122;1,527;107905
04/07/2013 16:00:00;1,527;1,5276;1,5047;1,5072;100698
05/07/2013 16:00:00;1,5063;1,5074;1,4845;1,4877;154698
08/07/2013 16:00:00;1,4874;1,496;1,4852;1,4946;92175
09/07/2013 16:00:00;1,494;1,4974;1,4806;1,4862;127091
10/07/2013 16:00:00;1,486;1,5009;1,4838;1,5007;126740
11/07/2013 16:00:00;1,5053;1,5216;1,5027;1,5176;165459
12/07/2013 16:00:00;1,5179;1,5182;1,5069;1,5096;91061
15/07/2013 16:00:00;1,5099;1,512;1,5021;1,5091;87550
16/07/2013 16:00:00;1,5092;1,5163;1,5037;1,5153;109884
17/07/2013 16:00:00;1,5144;1,5262;1,5072;1,5209;163459
18/07/2013 16:00:00;1,5206;1,5237;1,515;1,522;94163
19/07/2013 16:00:00;1,5221;1,5276;1,5191;1,5264;66908
22/07/2013 16:00:00;1,5259;1,5378;1,5252;1,5356;89092
23/07/2013 16:00:00;1,5349;1,5387;1,532;1,5363;91896
24/07/2013 16:00:00;1,5369;1,5384;1,5284;1,5315;100617
25/07/2013 16:00:00;1,5314;1,5432;1,5258;1,5388;122150
26/07/2013 16:00:00;1,538;1,5412;1,5351;1,5374;77548
29/07/2013 16:00:00;1,5378;1,5409;1,5323;1,5333;64571
30/07/2013 16:00:00;1,5338;1,535;1,5218;1,523;93595
31/07/2013 16:00:00;1,5236;1,525;1,512;1,52;155094
01/08/2013 16:00:00;1,5198;1,5239;1,5105;1,5114;160946
02/08/2013 16:00:00;1,5117;1,5304;1,5098;1,529;127682
05/08/2013 16:00:00;1,5276;1,5373;1,5254;1,5355;95072
06/08/2013 16:00:00;1,5353;1,5395;1,5328;1,5345;79492
07/08/2013 16:00:00;1,5347;1,5528;1,52;1,5481;220431
08/08/2013 16:00:00;1,5487;1,557;1,548;1,5531;89099
09/08/2013 16:00:00;1,5531;1,5554;1,5493;1,5501;70929
12/08/2013 16:00:00;1,5505;1,5518;1,5455;1,5458;57462
13/08/2013 16:00:00;1,546;1,551;1,542;1,5445;97374
14/08/2013 16:00:00;1,5442;1,5544;1,5419;1,5498;115739
15/08/2013 16:00:00;1,5498;1,565;1,5498;1,5637;153290
16/08/2013 16:00:00;1,5637;1,5655;1,5604;1,5618;83597
19/08/2013 16:00:00;1,563;1,567;1,5606;1,5647;67854
20/08/2013 16:00:00;1,5645;1,5695;1,5625;1,5662;76084
21/08/2013 16:00:00;1,5662;1,5716;1,5635;1,5653;103216
22/08/2013 16:00:00;1,5659;1,5661;1,556;1,5586;102051
23/08/2013 16:00:00;1,5586;1,5656;1,5537;1,5562;101489
26/08/2013 16:00:00;1,5574;1,561;1,5554;1,5576;46190
27/08/2013 16:00:00;1,5574;1,559;1,5479;1,5545;102927
28/08/2013 16:00:00;1,5545;1,5552;1,5425;1,5524;126138
29/08/2013 16:00:00;1,5526;1,5546;1,548;1,5503;80035
30/08/2013 16:00:00;1,5503;1,5527;1,5461;1,5494;68891
02/09/2013 16:00:00;1,5516;1,5592;1,5504;1,553;47633
03/09/2013 16:00:00;1,5543;1,5604;1,5507;1,5556;95259
04/09/2013 16:00:00;1,5557;1,5648;1,5555;1,5625;97826
05/09/2013 16:00:00;1,5622;1,5675;1,5571;1,5591;116571
06/09/2013 16:00:00;1,5587;1,5682;1,5564;1,5626;102750
09/09/2013 16:00:00;1,5626;1,5732;1,5626;1,5696;75773
10/09/2013 16:00:00;1,5694;1,5746;1,5685;1,5734;66393
11/09/2013 16:00:00;1,573;1,5829;1,5719;1,582;99951
12/09/2013 16:00:00;1,5815;1,5831;1,5768;1,5793;36167
13/09/2013 16:00:00;1,5795;1,5874;1,5766;1,5869;90949
16/09/2013 16:00:00;1,5923;1,5953;1,5883;1,5886;86603
17/09/2013 16:00:00;1,5886;1,5928;1,5876;1,5894;76660
18/09/2013 16:00:00;1,5895;1,6153;1,5882;1,6135;145585
19/09/2013 16:00:00;1,6125;1,6137;1,6013;1,6021;135593
20/09/2013 16:00:00;1,602;1,6057;1,5977;1,5989;87966
23/09/2013 16:00:00;1,5994;1,6063;1,5989;1,6036;70675
24/09/2013 16:00:00;1,6033;1,6035;1,5943;1,5996;81537
25/09/2013 16:00:00;1,5995;1,6079;1,5971;1,607;80438
26/09/2013 16:00:00;1,607;1,6087;1,599;1,6037;81478
27/09/2013 16:00:00;1,603;1,6138;1,6021;1,6128;86013
30/09/2013 16:00:00;1,613;1,6194;1,6119;1,6178;95621
01/10/2013 16:00:00;1,6175;1,6252;1,6173;1,6187;96260
02/10/2013 16:00:00;1,6184;1,6243;1,6153;1,6215;85170
03/10/2013 16:00:00;1,622;1,6232;1,6145;1,6148;87483
04/10/2013 16:00:00;1,615;1,6169;1,5996;1,602;105806
07/10/2013 16:00:00;1,6017;1,6092;1,6016;1,6087;76157
08/10/2013 16:00:00;1,6081;1,6117;1,601;1,6072;84754
09/10/2013 16:00:00;1,6073;1,6114;1,5909;1,5949;117336
10/10/2013 16:00:00;1,5949;1,5975;1,5906;1,596;76184
11/10/2013 16:00:00;1,5963;1,5994;1,5915;1,5951;62621
14/10/2013 16:00:00;1,5965;1,6012;1,5947;1,5978;53719
15/10/2013 16:00:00;1,5977;1,6022;1,5908;1,5991;89079
16/10/2013 16:00:00;1,5993;1,6056;1,5886;1,5942;113054
17/10/2013 16:00:00;1,5951;1,6166;1,5933;1,6157;122488
18/10/2013 16:00:00;1,6154;1,6218;1,6134;1,6163;69578
21/10/2013 16:00:00;1,6163;1,6174;1,6125;1,6141;53288
22/10/2013 16:00:00;1,614;1,6242;1,6108;1,6229;84866
23/10/2013 16:00:00;1,6225;1,625;1,6113;1,6159;84834
24/10/2013 16:00:00;1,6159;1,6217;1,6131;1,6196;77994
25/10/2013 16:00:00;1,6195;1,6241;1,6144;1,6167;73358
28/10/2013 17:00:00;1,6166;1,6203;1,6119;1,6136;59946
